Iterative BFS,adjlist,1542->1707,40,1703,0.0206907,39,0,,,,,,,,,,
Iterative BFS,adjlist,1212->134,45,2134,0.0401128,44,0,,,,,,,,,,
Iterative BFS,adjlist,796->878,21,524,0.00345745,20,0,,,,,,,,,,
Iterative BFS,adjlist,968->105,31,1507,0.0227686,30,0,,,,,,,,,,
Iterative BFS,adjlist,372->826,14,325,0.00190568,13,0,,,,,,,,,,
Iterative BFS,adjlist,592->1339,19,523,0.00348255,18,0,,,,,,,,,,
Iterative BFS,adjlist,448->2117,66,2217,0.0297534,65,0,,,,,,,,,,
Iterative BFS,adjlist,1671->150,61,2495,0.0598396,60,0,,,,,,,,,,
Iterative BFS,adjlist,859->611,8,109,0.000603232,7,0,,,,,,,,,,
Iterative BFS,adjlist,2208->1879,29,754,0.00711703,28,0,,,,,,,,,,
Iterative BFS,adjlist,599->944,13,179,0.00113603,12,0,,,,,,,,,,
Iterative BFS,adjlist,872->1901,43,2223,0.0460027,42,0,,,,,,,,,,
Iterative BFS,adjlist,2071->1700,38,1626,0.0262097,37,0,,,,,,,,,,
Iterative BFS,adjlist,1560->798,55,2320,0.0443848,54,0,,,,,,,,,,
Iterative BFS,adjlist,1387->340,25,1072,0.0119137,24,0,,,,,,,,,,
Iterative BFS,adjlist,679->1253,39,1907,0.0322725,38,0,,,,,,,,,,
Iterative BFS,adjlist,762->1450,52,2242,0.0455188,51,0,,,,,,,,,,
Iterative BFS,adjlist,935->1657,44,2172,0.0332085,43,0,,,,,,,,,,
Iterative BFS,adjlist,1438->1672,22,787,0.00709365,21,0,,,,,,,,,,
Iterative BFS,adjlist,1696->2370,41,1531,0.0160143,40,0,,,,,,,,,,
Iterative BFS,adjlist,2476->102,72,2486,0.0582625,71,0,,,,,,,,,,
Iterative BFS,adjlist,1984->610,52,2242,0.0407047,51,0,,,,,,,,,,
Iterative BFS,adjlist,283->1062,38,1431,0.0184337,37,0,,,,,,,,,,
Iterative BFS,adjlist,865->1446,43,2082,0.0407801,42,0,,,,,,,,,,
Iterative BFS,adjlist,1856->1669,18,423,0.00282125,17,0,,,,,,,,,,
Iterative BFS,adjlist,666->1916,26,1057,0.0123166,25,0,,,,,,,,,,
Iterative BFS,adjlist,2030->67,53,2301,0.0472872,52,0,,,,,,,,,,
Iterative BFS,adjlist,1838->220,51,2220,0.033708,50,0,,,,,,,,,,
