Iterative DFS,adjmatrix,9619->9698,90,9911,3.69714,89,0
Recursive DFS,adjmatrix,9619->9698,90,9911,3.71578,89,0
Dijkstra,adjmatrix,9619->9698,108,6738,1.49069,107,30.11
A* (A star),adjmatrix,9619->9698,80,80,0.0122865,79,40.847
Iterative BFS,adjlist,3774->2426,62,5663,0.347112,61,0
Recursive BFS,adjlist,3774->2426,62,5663,0.374394,61,0
Iterative DFS,adjlist,3774->2426,2490,4852,0.464609,2489,0
Recursive DFS,adjlist,3774->2426,2490,4852,0.45959,2489,0
Dijkstra,adjlist,3774->2426,66,5366,0.511256,65,18.53
A* (A star),adjlist,3774->2426,62,62,0.00279815,61,30.704
Iterative BFS,adjmatrix,3774->2426,62,5664,1.23286,61,0
Recursive BFS,adjmatrix,3774->2426,62,5664,1.21187,61,0
Iterative DFS,adjmatrix,3774->2426,3836,6279,2.70329,3835,0
Recursive DFS,adjmatrix,3774->2426,3836,6279,2.62849,3835,0
Dijkstra,adjmatrix,3774->2426,66,5366,1.19306,65,18.53
A* (A star),adjmatrix,3774->2426,62,62,0.0100016,61,30.704
Iterative BFS,adjlist,8141->9918,42,2832,0.0772229,41,0
Recursive BFS,adjlist,8141->9918,42,2832,0.0795721,41,0
Iterative DFS,adjlist,8141->9918,1198,8714,1.21252,1197,0
Recursive DFS,adjlist,8141->9918,1198,8714,1.202,1197,0
Dijkstra,adjlist,8141->9918,42,2255,0.0736534,41,11.281
A* (A star),adjlist,8141->9918,42,42,0.00185053,41,14.105
Iterative BFS,adjmatrix,8141->9918,42,2896,0.441241,41,0
Recursive BFS,adjmatrix,8141->9918,42,2896,0.447993,41,0
Iterative DFS,adjmatrix,8141->9918,656,656,0.0971483,655,0
Recursive DFS,adjmatrix,8141->9918,656,656,0.0950936,655,0
Dijkstra,adjmatrix,8141->9918,42,2255,0.342354,41,11.281
A* (A star),adjmatrix,8141->9918,42,42,0.00654254,41,14.105
Iterative BFS,adjlist,6721->9851,62,5047,0.339882,61,0
Recursive BFS,adjlist,6721->9851,62,5047,0.359162,61,0
Iterative DFS,adjlist,6721->9851,1582,1582,0.119178,1581,0
Recursive DFS,adjlist,6721->9851,1582,1582,0.117728,1581,0
Dijkstra,adjlist,6721->9851,62,4468,0.352929,61,16.749
A* (A star),adjlist,6721->9851,62,62,0.00255762,61,29.238
Iterative BFS,adjmatrix,6721->9851,62,5078,1.00243,61,0
Recursive BFS,adjmatrix,6721->9851,62,5078,0.943257,61,0
Iterative DFS,adjmatrix,6721->9851,64,9906,3.66204,63,0
Recursive DFS,adjmatrix,6721->9851,64,9906,3.67765,63,0
Dijkstra,adjmatrix,6721->9851,62,4468,0.920871,61,16.749
A* (A star),adjmatrix,6721->9851,62,62,0.00966921,61,29.238
Iterative BFS,adjlist,9790->4817,123,7872,0.62977,122,0
Recursive BFS,adjlist,9790->4817,123,7872,0.689428,122,0
Iterative DFS,adjlist,9790->4817,3787,6191,1.64872,3786,0
Recursive DFS,adjlist,9790->4817,3787,6191,1.60067,3786,0
Dijkstra,adjlist,9790->4817,125,8131,1.18853,124,34.361
A* (A star),adjlist,9790->4817,123,123,0.00443013,122,50.265
Iterative BFS,adjmatrix,9790->4817,123,7904,1.68834,122,0
Recursive BFS,adjmatrix,9790->4817,123,7904,1.58994,122,0
Iterative DFS,adjmatrix,9790->4817,2673,7492,3.3568,2672,0
Recursive DFS,adjmatrix,9790->4817,2673,7492,3.28465,2672,0
Dijkstra,adjmatrix,9790->4817,125,8131,2.00109,124,34.361
A* (A star),adjmatrix,9790->4817,123,123,0.0197954,122,50.265
Iterative BFS,adjlist,8191->9077,24,846,0.00805643,23,0
Recursive BFS,adjlist,8191->9077,24,846,0.0080085,23,0
Iterative DFS,adjlist,8191->9077,802,1420,0.0410015,801,0
Recursive DFS,adjlist,8191->9077,802,1420,0.0406692,801,0
Dijkstra,adjlist,8191->9077,24,844,0.0110996,23,6.741
A* (A star),adjlist,8191->9077,24,24,0.00139015,23,10.497
Iterative BFS,adjmatrix,8191->9077,24,870,0.117646,23,0
Recursive BFS,adjmatrix,8191->9077,24,870,0.112603,23,0
Iterative DFS,adjmatrix,8191->9077,500,9514,3.50798,499,0
Recursive DFS,adjmatrix,8191->9077,500,9514,3.56437,499,0
Dijkstra,adjmatrix,8191->9077,24,844,0.113778,23,6.741
A* (A star),adjmatrix,8191->9077,24,24,0.00408411,23,10.497
Iterative BFS,adjlist,8391->941,125,8766,0.66833,124,0
Recursive BFS,adjlist,8391->941,125,8766,0.71056,124,0
Iterative DFS,adjlist,8391->941,2703,3319,0.354679,2702,0
Recursive DFS,adjlist,8391->941,2703,3319,0.35842,2702,0
Dijkstra,adjlist,8391->941,131,7924,1.06347,130,29.842
A* (A star),adjlist,8391->941,125,125,0.00421727,124,52.761
Iterative BFS,adjmatrix,8391->941,125,8735,1.86741,124,0
Recursive BFS,adjmatrix,8391->941,125,8735,1.87442,124,0
Iterative DFS,adjmatrix,8391->941,4671,4672,1.72761,4670,0
Recursive DFS,adjmatrix,8391->941,4671,4672,1.72688,4670,0
Dijkstra,adjmatrix,8391->941,131,7924,2.01178,130,29.842
A* (A star),adjmatrix,8391->941,125,125,0.0195219,124,52.761
Iterative BFS,adjlist,6155->4287,52,5049,0.315357,51,0
Recursive BFS,adjlist,6155->4287,52,5049,0.338221,51,0
Iterative DFS,adjlist,6155->4287,1636,1636,0.131097,1635,0
Recursive DFS,adjlist,6155->4287,1636,1636,0.128463,1635,0
Dijkstra,adjlist,6155->4287,56,4202,0.265866,55,15.043
A* (A star),adjlist,6155->4287,52,52,0.00243222,51,24.168
Iterative BFS,adjmatrix,6155->4287,52,4997,0.944,51,0
